	0|1495118176.016451|1495118177.016451
||200|0xc16e|1495118176.016451000|92
||200|0xc16f|1495118176.025312000|84
||200|0xc170|1495118176.025318000|103
||200|0xc171|1495118176.029168000|84
||200|0xc172|1495118176.031025000|421
||200|0xdc2d|1495118176.065547000|92
||200|0xdc2e|1495118176.070837000|84
||200|0xc173|1495118176.071631000|84
100|0x711d|1495118176.216260000|92
100|0x711e|1495118176.221691000|84
100|0x711f|1495118176.221698000|103
100|0x7120|1495118176.226288000|84
100|0x7121|1495118176.228613000|421
100|0x7122|1495118176.268303000|84
100|0x1201|1495118176.289824000|92
100|0x1202|1495118176.295259000|84
100|0x1203|1495118176.555323000|808
100|0x1204|1495118176.583790000|808
100|0x1205|1495118176.583924000|808
100|0x1206|1495118176.584637000|808
100|0x1207|1495118176.584656000|808
100|0x1208|1495118176.585302000|808
100|0x1209|1495118176.585311000|808
100|0x120a|1495118176.585926000|808
100|0x120b|1495118176.585933000|808
100|0x120c|1495118176.586519000|808
100|0x120d|1495118176.586525000|808
100|0x120e|1495118176.587099000|808
100|0x120f|1495118176.587110000|808
100|0x1210|1495118176.587641000|808
100|0x1211|1495118176.587669000|808
100|0x1212|1495118176.588191000|808
100|0x1213|1495118176.588258000|808
100|0x1214|1495118176.588750000|808
100|0x1215|1495118176.588778000|808
100|0x1216|1495118176.589293000|808
100|0x1217|1495118176.589324000|808
100|0x1218|1495118176.589834000|808
100|0x1219|1495118176.589862000|808
100|0x121a|1495118176.590368000|808
100|0x121b|1495118176.590395000|808
100|0x121c|1495118176.590898000|808
100|0x121d|1495118176.590931000|808
100|0x121e|1495118176.591406000|808
100|0x121f|1495118176.591433000|808
100|0x1220|1495118176.591879000|808
100|0x1221|1495118176.591909000|808
100|0x1222|1495118176.592313000|808
100|0x1223|1495118176.592345000|808
100|0x1224|1495118176.592772000|808
100|0x1225|1495118176.592802000|808
200|0xdc2f|1495118176.593043000|808
100|0x1226|1495118176.593273000|808
100|0x1227|1495118176.593300000|808
100|0x1228|1495118176.593783000|808
100|0x1229|1495118176.593810000|808
100|0x122a|1495118176.594277000|808
100|0x122b|1495118176.594304000|808
100|0x122c|1495118176.594748000|808
100|0x122d|1495118176.594776000|808
100|0x122e|1495118176.595220000|808
100|0x122f|1495118176.595247000|808
100|0x1230|1495118176.595668000|808
100|0x1231|1495118176.595694000|808
100|0x1232|1495118176.596117000|808
100|0x1233|1495118176.596145000|808
100|0x1234|1495118176.596571000|808
100|0x1235|1495118176.596588000|808
100|0x1236|1495118176.597051000|808
100|0x1237|1495118176.597079000|808
100|0x1238|1495118176.597513000|808
100|0x1239|1495118176.597541000|808
100|0x123a|1495118176.598041000|808
100|0x123b|1495118176.598068000|808
100|0x123c|1495118176.598489000|808
100|0x123d|1495118176.598563000|808
100|0x123e|1495118176.598927000|808
100|0x123f|1495118176.599000000|808
100|0x1240|1495118176.599366000|808
100|0x1241|1495118176.599442000|808
100|0x1242|1495118176.599817000|808
100|0x1243|1495118176.599849000|808
200|0xdc30|1495118176.600043000|808
200|0xdc31|1495118176.600314000|808
