	0|1495118176.016026|1495118177.016026
200|0xc16e|1495118176.016026000|78
200|0xc16f|1495118176.025202000|70
200|0xc170|1495118176.025209000|89
200|0xc171|1495118176.028900000|70
200|0xc172|1495118176.030869000|407
200|0xdc2d|1495118176.065431000|78
200|0xdc2e|1495118176.070750000|70
200|0xc173|1495118176.071582000|70
100|0x711d|1495118176.216170000|78
100|0x711e|1495118176.221581000|70
100|0x711f|1495118176.221588000|89
100|0x7120|1495118176.226194000|70
100|0x7121|1495118176.228501000|407
100|0x7122|1495118176.268196000|70
100|0x1201|1495118176.289726000|78
100|0x1202|1495118176.295153000|70
100|0x1203|1495118176.555135000|794
100|0x1204|1495118176.583690000|794
100|0x1205|1495118176.583876000|794
100|0x1206|1495118176.584516000|794
100|0x1207|1495118176.584524000|794
100|0x1208|1495118176.585198000|794
100|0x1209|1495118176.585206000|794
100|0x120a|1495118176.585824000|794
100|0x120b|1495118176.585832000|794
100|0x120c|1495118176.586435000|794
100|0x120d|1495118176.586442000|794
100|0x120e|1495118176.586938000|794
100|0x120f|1495118176.586968000|794
100|0x1210|1495118176.587515000|794
100|0x1211|1495118176.587544000|794
100|0x1212|1495118176.588063000|794
100|0x1213|1495118176.588154000|794
100|0x1214|1495118176.588624000|794
100|0x1215|1495118176.588652000|794
100|0x1216|1495118176.589170000|794
100|0x1217|1495118176.589199000|794
100|0x1218|1495118176.589711000|794
100|0x1219|1495118176.589739000|794
100|0x121a|1495118176.590244000|794
100|0x121b|1495118176.590271000|794
100|0x121c|1495118176.590775000|794
100|0x121d|1495118176.590804000|794
100|0x121e|1495118176.591281000|794
100|0x121f|1495118176.591310000|794
100|0x1220|1495118176.591756000|794
100|0x1221|1495118176.591785000|794
100|0x1222|1495118176.592191000|794
100|0x1223|1495118176.592219000|794
100|0x1224|1495118176.592649000|794
100|0x1225|1495118176.592679000|794
200|0xdc2f|1495118176.592899000|794
100|0x1226|1495118176.593143000|794
100|0x1227|1495118176.593170000|794
100|0x1228|1495118176.593661000|794
100|0x1229|1495118176.593678000|794
100|0x122a|1495118176.594152000|794
100|0x122b|1495118176.594179000|794
100|0x122c|1495118176.594622000|794
100|0x122d|1495118176.594652000|794
100|0x122e|1495118176.595087000|794
100|0x122f|1495118176.595117000|794
100|0x1230|1495118176.595540000|794
100|0x1231|1495118176.595569000|794
100|0x1232|1495118176.595985000|794
100|0x1233|1495118176.596014000|794
100|0x1234|1495118176.596445000|794
100|0x1235|1495118176.596473000|794
100|0x1236|1495118176.596924000|794
100|0x1237|1495118176.596953000|794
100|0x1238|1495118176.597381000|794
100|0x1239|1495118176.597412000|794
100|0x123a|1495118176.597908000|794
100|0x123b|1495118176.597939000|794
100|0x123c|1495118176.598364000|794
100|0x123d|1495118176.598393000|794
100|0x123e|1495118176.598799000|794
100|0x123f|1495118176.598831000|794
100|0x1240|1495118176.599241000|794
100|0x1241|1495118176.599269000|794
100|0x1242|1495118176.599694000|794
100|0x1243|1495118176.599724000|794
200|0xdc30|1495118176.599970000|794
200|0xdc31|1495118176.600169000|794
100|0x1244|1495118176.600175000|794
100|0x1245|1495118176.600188000|794
100|0x1246|1495118176.600747000|794
200|0xdc32|1495118176.600751000|794
100|0x1247|1495118176.600753000|794
200|0xdc33|1495118176.600777000|794
100|0x1248|1495118176.601235000|794
100|0x1249|1495118176.601262000|794
200|0xdc34|1495118176.601335000|794
200|0xdc35|1495118176.601413000|794
100|0x124a|1495118176.601695000|794
100|0x124b|1495118176.601724000|794
200|0xdc36|1495118176.601901000|794
200|0xdc37|1495118176.601992000|794
100|0x124c|1495118176.602129000|794
100|0x124d|1495118176.602133000|794
200|0xdc38|1495118176.602410000|794
200|0xdc39|1495118176.602498000|794
100|0x124e|1495118176.602503000|794
100|0x124f|1495118176.602529000|794
100|0x1250|1495118176.603016000|794
200|0xdc3a|1495118176.603021000|794
100|0x1251|1495118176.603022000|794
200|0xdc3b|1495118176.603024000|794
100|0x1252|1495118176.603427000|794
100|0x1253|1495118176.603432000|794
200|0xdc3c|1495118176.603547000|794
200|0xdc3d|1495118176.603623000|794
100|0x1254|1495118176.603850000|794
100|0x1255|1495118176.603855000|794
200|0xdc3e|1495118176.604083000|794
200|0xdc3f|1495118176.604088000|794
100|0x1256|1495118176.604265000|794
100|0x1257|1495118176.604269000|794
200|0xdc40|1495118176.604550000|794
200|0xdc41|1495118176.604556000|794
100|0x1258|1495118176.604689000|794
100|0x1259|1495118176.604694000|794
200|0xdc42|1495118176.605020000|794
200|0xdc43|1495118176.605119000|794
100|0x125a|1495118176.605124000|794
100|0x125b|1495118176.605125000|794
200|0xdc44|1495118176.605552000|794
100|0x125c|1495118176.605557000|794
100|0x125d|1495118176.605559000|446
200|0xdc45|1495118176.605560000|794
200|0xdc46|1495118176.606040000|794
200|0xdc47|1495118176.606045000|794
200|0xdc48|1495118176.606503000|794
200|0xdc49|1495118176.606507000|794
200|0xdc4a|1495118176.606964000|794
200|0xdc4b|1495118176.606968000|794
200|0xdc4c|1495118176.607445000|794
200|0xdc4d|1495118176.607450000|794
200|0xdc4e|1495118176.607905000|794
200|0xdc4f|1495118176.607910000|794
200|0xdc50|1495118176.608364000|794
200|0xdc51|1495118176.608396000|794
200|0xdc52|1495118176.608831000|794
200|0xdc53|1495118176.608836000|794
200|0xdc54|1495118176.609283000|794
200|0xdc55|1495118176.609288000|794
200|0xdc56|1495118176.609737000|794
200|0xdc57|1495118176.609742000|794
200|0xdc58|1495118176.610186000|794
200|0xdc59|1495118176.610191000|794
200|0xdc5a|1495118176.610636000|794
200|0xdc5b|1495118176.610641000|794
200|0xdc5c|1495118176.611097000|794
200|0xdc5d|1495118176.611102000|794
200|0xdc5e|1495118176.611550000|794
200|0xdc5f|1495118176.611554000|794
200|0xdc60|1495118176.611999000|794
200|0xdc61|1495118176.612004000|794
200|0xdc62|1495118176.612461000|794
200|0xdc63|1495118176.612466000|794
200|0xdc64|1495118176.612909000|794
200|0xdc65|1495118176.612913000|794
200|0xdc66|1495118176.613354000|794
200|0xdc67|1495118176.613360000|794
200|0xdc68|1495118176.613816000|794
200|0xdc69|1495118176.613820000|794
200|0xdc6a|1495118176.614266000|794
200|0xdc6b|1495118176.614270000|794
200|0xdc6c|1495118176.614712000|794
200|0xdc6d|1495118176.614717000|794
200|0xdc6e|1495118176.615169000|794
200|0xdc6f|1495118176.615175000|794
200|0xdc70|1495118176.615595000|794
200|0xdc71|1495118176.615624000|794
200|0xdc72|1495118176.616053000|794
200|0xdc73|1495118176.616056000|794
200|0xdc74|1495118176.616554000|794
200|0xdc75|1495118176.616558000|794
200|0xdc76|1495118176.617040000|794
200|0xdc77|1495118176.617044000|794
200|0xdc78|1495118176.617529000|794
200|0xdc79|1495118176.617534000|794
200|0xdc7a|1495118176.618026000|794
200|0xdc7b|1495118176.618031000|794
200|0xdc7c|1495118176.618507000|794
200|0xdc7d|1495118176.618512000|794
200|0xdc7e|1495118176.618983000|794
200|0xdc7f|1495118176.618988000|794
200|0xdc80|1495118176.619486000|794
200|0xdc81|1495118176.619491000|794
200|0xdc82|1495118176.619980000|794
200|0xdc83|1495118176.619985000|794
200|0xdc84|1495118176.620465000|794
200|0xdc85|1495118176.620470000|794
200|0xdc86|1495118176.620935000|794
200|0xdc87|1495118176.620940000|794
200|0xdc88|1495118176.621400000|794
200|0xdc89|1495118176.621405000|446
100|0x125e|1495118176.817278000|794
100|0x125f|1495118176.817285000|794
100|0x1260|1495118176.817824000|794
100|0x1261|1495118176.817825000|794
100|0x1262|1495118176.818419000|794
100|0x1263|1495118176.818420000|794
100|0x1264|1495118176.818973000|794
100|0x1265|1495118176.818977000|794
100|0x1266|1495118176.819579000|794
100|0x1267|1495118176.819581000|794
100|0x1268|1495118176.820253000|794
100|0x1269|1495118176.820258000|794
100|0x126a|1495118176.820714000|794
100|0x126b|1495118176.820719000|794
100|0x126c|1495118176.821309000|794
100|0x126d|1495118176.821325000|794
100|0x126e|1495118176.821971000|794
100|0x126f|1495118176.821978000|794
100|0x1270|1495118176.822557000|794
100|0x1271|1495118176.822563000|794
100|0x1272|1495118176.823148000|794
100|0x1273|1495118176.823153000|794
100|0x1274|1495118176.823732000|794
100|0x1275|1495118176.823737000|794
100|0x1276|1495118176.824316000|794
