	0|1494340327.873873|1494340328.873873
200|0xbe4f|1494340327.873873000
200|0xbe50|1494340327.879345000
200|0xbe51|1494340327.879353000
200|0xbe52|1494340327.882491000
200|0xbe53|1494340327.884679000
200|0xbe54|1494340327.924337000
200|0x5bc2|1494340327.945163000
200|0x5bc3|1494340327.952189000
100|0x979d|1494340328.049471000
100|0x979e|1494340328.054873000
100|0x979f|1494340328.054880000
100|0x97a0|1494340328.057618000
100|0x97a1|1494340328.060206000
100|0x97a2|1494340328.102839000
100|0x060a|1494340328.122063000
100|0x060b|1494340328.129163000
200|0x5bc4|1494340328.474234000
200|0x5bc5|1494340328.503475000
200|0x5bc6|1494340328.503718000
200|0x5bc7|1494340328.504330000
200|0x5bc8|1494340328.504336000
200|0x5bc9|1494340328.504945000
200|0x5bca|1494340328.504965000
200|0x5bcb|1494340328.505555000
200|0x5bcc|1494340328.505561000
200|0x5bcd|1494340328.506106000
200|0x5bce|1494340328.506112000
200|0x5bcf|1494340328.506668000
200|0x5bd0|1494340328.506674000
200|0x5bd1|1494340328.507242000
200|0x5bd2|1494340328.507248000
200|0x5bd3|1494340328.507785000
200|0x5bd4|1494340328.507791000
200|0x5bd5|1494340328.508290000
200|0x5bd6|1494340328.508296000
200|0x5bd7|1494340328.508837000
200|0x5bd8|1494340328.508843000
200|0x5bd9|1494340328.509355000
200|0x5bda|1494340328.509363000
200|0x5bdb|1494340328.509888000
200|0x5bdc|1494340328.509893000
200|0x5bdd|1494340328.510397000
200|0x5bde|1494340328.510402000
200|0x5bdf|1494340328.510876000
200|0x5be0|1494340328.510882000
200|0x5be1|1494340328.511315000
200|0x5be2|1494340328.511320000
200|0x5be3|1494340328.511769000
200|0x5be4|1494340328.511774000
200|0x5be5|1494340328.512223000
200|0x5be6|1494340328.512228000
200|0x5be7|1494340328.512669000
200|0x5be8|1494340328.512675000
200|0x5be9|1494340328.513110000
200|0x5bea|1494340328.513116000
200|0x5beb|1494340328.513533000
200|0x5bec|1494340328.513538000
200|0x5bed|1494340328.513977000
200|0x5bee|1494340328.513982000
200|0x5bef|1494340328.514413000
200|0x5bf0|1494340328.514418000
200|0x5bf1|1494340328.514830000
200|0x5bf2|1494340328.514835000
200|0x5bf3|1494340328.515299000
200|0x5bf4|1494340328.515304000
200|0x5bf5|1494340328.515768000
200|0x5bf6|1494340328.515773000
200|0x5bf7|1494340328.516200000
200|0x5bf8|1494340328.516206000
200|0x5bf9|1494340328.516629000
200|0x5bfa|1494340328.516635000
200|0x5bfb|1494340328.517053000
200|0x5bfc|1494340328.517059000
200|0x5bfd|1494340328.517496000
200|0x5bfe|1494340328.517501000
200|0x5bff|1494340328.517913000
200|0x5c00|1494340328.517919000
200|0x5c01|1494340328.518353000
200|0x5c02|1494340328.518358000
200|0x5c03|1494340328.518775000
200|0x5c04|1494340328.518780000
200|0x5c05|1494340328.519171000
200|0x5c06|1494340328.519270000
200|0x5c07|1494340328.519629000
200|0x5c08|1494340328.519632000
200|0x5c09|1494340328.520102000
200|0x5c0a|1494340328.520110000
200|0x5c0b|1494340328.520532000
200|0x5c0c|1494340328.520539000
200|0x5c0d|1494340328.520970000
200|0x5c0e|1494340328.520976000
200|0x5c0f|1494340328.521403000
200|0x5c10|1494340328.521409000
200|0x5c11|1494340328.521837000
200|0x5c12|1494340328.521843000
200|0x5c13|1494340328.522265000
200|0x5c14|1494340328.522270000
200|0x5c15|1494340328.522688000
200|0x5c16|1494340328.522694000
200|0x5c17|1494340328.523117000
200|0x5c18|1494340328.523123000
200|0x5c19|1494340328.523543000
200|0x5c1a|1494340328.523549000
200|0x5c1b|1494340328.523979000
200|0x5c1c|1494340328.523985000
200|0x5c1d|1494340328.524399000
200|0x5c1e|1494340328.524406000
200|0x5c1f|1494340328.524847000
200|0x5c20|1494340328.524853000
200|0x5c21|1494340328.525281000
200|0x5c22|1494340328.525287000
200|0x5c23|1494340328.525700000
200|0x5c24|1494340328.525706000
200|0x5c25|1494340328.526134000
200|0x5c26|1494340328.526139000
200|0x5c27|1494340328.526564000
200|0x5c28|1494340328.526570000
200|0x5c29|1494340328.527008000
200|0x5c2a|1494340328.527014000
200|0x5c2b|1494340328.527469000
200|0x5c2c|1494340328.527476000
200|0x5c2d|1494340328.527891000
200|0x5c2e|1494340328.527897000
200|0x5c2f|1494340328.528333000
200|0x5c30|1494340328.528339000
200|0x5c31|1494340328.528798000
200|0x5c32|1494340328.528804000
200|0x5c33|1494340328.529228000
200|0x5c34|1494340328.529233000
200|0x5c35|1494340328.529640000
100|0x060c|1494340328.650873000
100|0x060d|1494340328.679162000
100|0x060e|1494340328.679444000
100|0x060f|1494340328.680037000
100|0x0610|1494340328.680040000
100|0x0611|1494340328.680711000
100|0x0612|1494340328.680715000
100|0x0613|1494340328.681480000
100|0x0614|1494340328.681485000
100|0x0615|1494340328.682079000
100|0x0616|1494340328.682084000
100|0x0617|1494340328.682710000
100|0x0618|1494340328.682717000
100|0x0619|1494340328.683443000
100|0x061a|1494340328.683449000
100|0x061b|1494340328.683991000
100|0x061c|1494340328.683996000
100|0x061d|1494340328.684661000
100|0x061e|1494340328.684668000
100|0x061f|1494340328.685275000
100|0x0620|1494340328.685282000
100|0x0621|1494340328.685833000
100|0x0622|1494340328.685837000
100|0x0623|1494340328.686367000
100|0x0624|1494340328.686372000
100|0x0625|1494340328.686898000
100|0x0626|1494340328.686902000
100|0x0627|1494340328.687372000
100|0x0628|1494340328.687376000
100|0x0629|1494340328.687825000
100|0x062a|1494340328.687830000
100|0x062b|1494340328.688257000
